Item_Identifier;ID_Objet;Item_Weight;Item_Fat_Content;ID_Fat_Content;Item_Visibility;Item_Type;ID_Item_Type;Item_MRP;Outlet_Identifier;ID_Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;ID_Outlet_Size;Outlet_Location_Type;ID_Outlet_Location_Type;Outlet_Type;ID_Outlet_Type;Item_Outlet_Sales
FDA15;157;9.3;Low Fat;1;1.6047301;Dairy;5;249.8092;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3735.138
DRC01;9;5.92;Regular;2;1.9278216;Soft Drinks;15;48.2692;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;443.4228
FDN15;661;17.5;Low Fat;1;1.6760075;Meat;11;141.618;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2097.27
FDX07;1118;19.2;Regular;2;6.396817760952247;Fruits and Vegetables;7;182.095;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;732.38
NCD19;1294;8.93;Low Fat;1;6.396817760952247;Household;10;53.8614;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;994.7052
FDP36;756;10.395;Regular;2;6.396817760952247;Baking Goods;1;51.4008;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;556.6088
FDO10;694;13.65;Regular;2;1.2741089;Snack Foods;14;57.6588;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;343.5528
FDH17;440;16.2;Regular;2;1.6687113999999998;Frozen Foods;6;96.9726;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1076.5986
FDU28;987;19.2;Regular;2;9.444958999999999;Frozen Foods;6;187.8214;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;4710.535
FDY07;1168;11.8;Low Fat;1;6.396817760952247;Fruits and Vegetables;7;45.5402;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1516.0266
FDA03;148;18.5;Regular;2;4.5463773000000005;Dairy;5;144.1102;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2187.153
FDX32;1139;15.1;Regular;2;10.00135;Fruits and Vegetables;7;145.4786;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1589.2646
FDS46;901;17.6;Regular;2;4.7257328;Snack Foods;14;119.6782;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2145.2076
FDF32;375;16.35;Low Fat;1;6.802430000000001;Fruits and Vegetables;7;196.4426;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1977.426
FDP49;765;9.0;Regular;2;6.908896099999999;Breakfast;3;56.3614;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1547.3192
NCB42;1277;11.8;Low Fat;1;0.8596050999999999;Health and Hygiene;9;115.3492;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1621.8888
FDP49;765;9.0;Regular;2;6.919637599999999;Breakfast;3;54.3614;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;718.3982
FDU02;965;13.35;Low Fat;1;10.249212;Dairy;5;230.5352;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2748.4224
FDN22;665;18.85;Regular;2;13.8190277;Snack Foods;14;250.8724;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;3775.086
NCB30;1275;14.6;Low Fat;1;2.5698134;Household;10;196.5084;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1587.2672
FDR28;840;13.85;Regular;2;2.5896485;Frozen Foods;6;165.021;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;4078.025
NCD06;1291;13.0;Low Fat;1;9.9887103;Household;10;45.90600000000001;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;838.908
FDV10;1021;7.645;Regular;2;6.6693437000000015;Snack Foods;14;42.3112;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1065.28
DRJ59;102;11.65;Low Fat;1;1.9356132;Hard Drinks;8;39.1164;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;308.9312
FDE51;351;5.925;Regular;2;16.146653399999998;Dairy;5;45.5086;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;178.4344
FDV38;1045;19.25;Low Fat;1;17.0348551;Dairy;5;55.7956;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;163.7868
NCS17;1477;18.6;Low Fat;1;8.0829372;Health and Hygiene;9;96.4436;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;2741.7644
