ID_Objet;Item_Weight;ID_Fat_Content;Item_Visibility;ID_Item_Type;Item_MRP;ID_Outlet_Identifier;Outlet_Establishment_Year;ID_Outlet_Size;ID_Outlet_Location_Type;ID_Outlet_Type;Item_Outlet_Sales
157;9.3;1;0.016047301;5;249.8092;8;1999;2;1;2;3735.138
9;5.92;2;0.019278216;15;48.2692;4;2009;2;3;3;443.4228
661;17.5;1;0.016760075;11;141.618;8;1999;2;1;2;2097.27
1118;19.2;2;0.06396817760952248;7;182.095;1;1998;3;3;1;732.38
1294;8.93;1;0.06396817760952248;10;53.8614;2;1987;1;3;2;994.7052
756;10.395;2;0.06396817760952248;1;51.4008;4;2009;2;3;3;556.6088
694;13.65;2;0.012741089;14;57.6588;2;1987;1;3;2;343.5528
440;16.2;2;0.016687114;6;96.9726;6;2002;3;2;2;1076.5986
987;19.2;2;0.09444959;6;187.8214;3;2007;3;2;2;4710.535
1168;11.8;1;0.06396817760952248;7;45.5402;8;1999;2;1;2;1516.0266
148;18.5;2;0.045463773;5;144.1102;7;1997;4;1;2;2187.153
1139;15.1;2;0.1000135;7;145.4786;8;1999;2;1;2;1589.2646
901;17.6;2;0.047257328;14;119.6782;7;1997;4;1;2;2145.2076
375;16.35;1;0.06802430000000001;7;196.4426;2;1987;1;3;2;1977.426
765;9.0;2;0.06908896099999999;3;56.3614;7;1997;4;1;2;1547.3192
1277;11.8;1;0.008596051;9;115.3492;4;2009;2;3;3;1621.8888
765;9.0;2;0.06919637599999999;3;54.3614;8;1999;2;1;2;718.3982
965;13.35;1;0.10249212;5;230.5352;5;2004;4;2;2;2748.4224
665;18.85;2;0.138190277;14;250.8724;2;1987;1;3;2;3775.086
1275;14.6;1;0.025698134;10;196.5084;5;2004;4;2;2;1587.2672
840;13.85;2;0.025896485;6;165.021;7;1997;4;1;2;4078.025
1291;13.0;1;0.099887103;10;45.90600000000001;3;2007;3;2;2;838.908
1021;7.645;2;0.06669343700000001;14;42.3112;5;2004;4;2;2;1065.28
102;11.65;1;0.019356132;8;39.1164;2;1987;1;3;2;308.9312
351;5.925;2;0.161466534;5;45.5086;1;1998;3;3;1;178.4344
1045;19.25;1;0.170348551;5;55.7956;1;1998;3;3;1;163.7868
1477;18.6;1;0.080829372;9;96.4436;4;2009;2;3;3;2741.7644
754;18.7;1;0.06396817760952248;14;256.6672;4;2009;2;3;3;3068.0064
704;17.85;1;0.06396817760952248;2;93.1436;6;2002;3;2;2;2174.5028
65;17.5;1;0.097904029;15;174.8738;7;1997;4;1;2;2085.2856
1530;10.0;1;0.08929113699999999;9;146.7102;8;1999;2;1;2;3791.0652
144;8.85;2;0.113123893;15;122.5388;4;2009;2;3;3;1609.9044
965;13.35;1;0.102511504;5;230.6352;7;1997;4;1;2;3435.528
567;9.8;1;0.02681843;11;126.002;2;1987;1;3;2;2150.534
181;13.6;1;0.117818348;14;192.9136;8;1999;2;1;2;2527.3768
237;21.35;1;0.06910283099999999;4;259.9278;4;2009;2;3;3;6768.5228
610;12.15;2;0.042277867;4;126.5046;2;1987;1;3;2;373.5138
640;6.42;1;0.08949892599999999;5;178.1002;1;1998;3;3;1;358.2004
1435;19.6;1;0.06396817760952248;9;153.3024;6;2002;3;2;2;2428.8384
1054;10.0;1;0.025879577;4;265.2226;6;2002;3;2;2;5815.0972
585;15.85;2;0.121632721;1;60.622;7;1997;4;1;2;2576.646
1375;7.39;1;0.067779712;9;143.8812;7;1997;4;1;2;3134.5864
641;10.195;1;0.159803853;6;141.5154;2;1987;1;3;2;850.8924
827;9.895;2;0.028696932;4;117.0492;2;1987;1;3;2;810.9444
178;10.895;1;0.065041581;7;196.3794;3;2007;3;2;2;3121.2704
1439;12.15;1;0.028760013;10;151.4708;3;2007;3;2;2;4815.0656
553;7.905;1;0.010053105;14;249.0408;4;2009;2;3;3;6258.52
1535;9.195;1;0.048157338;10;106.1622;6;2002;3;2;2;2117.244
108;8.365;1;0.071958197;8;38.0506;8;1999;2;1;2;796.9626
1180;15.1;1;0.17348130399999998;14;194.511;7;1997;4;1;2;4910.275
628;10.0;1;0.06396817760952248;7;246.9144;4;2009;2;3;3;3185.1872
1036;7.97;2;0.040071131;11;87.3514;6;2002;3;2;2;1062.6168
267;17.7;1;0.195068226;14;185.4266;1;1998;3;3;1;184.4266
441;19.35;1;0.033082215;11;172.5738;5;2004;4;2;2;4865.6664
1215;13.65;2;0.078946455;5;186.024;6;2002;3;2;2;1118.544
